Title,Address,Editor-Notes,Category,ALPDEntry
Colorado Union Farmer (fortnightly),"The Farmers' Educational and Cooperative Union of Colorado, 304 Bank Block, Denver, Colorado",Val Sherman,Cooperation,"Colorado Union Farmer (fortnightly). Established 1919, 4 pages, $1, circulation 7,000. The Farmers' Educational and Cooperative Union of Colorado, 304 Bank Block, Den ver, Colo. Val Sherman."
Cooperation (monthly),"The Cooperative League of the United States of America, 167 West 12th Street, New York, New York",James P. Warbasse,Cooperation,"Cooperation (monthly). Established 1914, 20 pages, $1, circula tion 2,000. The Cooperative League of the United States of America, 167 West 12th Street, New York, N. Y. James P. Warbasse. ed."
Cooperative Bulletin (quarterly),"Cooperative Bakeries of Massachusetts, 133 Oxford Street, Lynn, Massachusetts","Benjamin D. Levine, Meyer Goldberg",Cooperation,"Cooperative Bulletin (quarterly). Jewish. Established 1923, 8 pages, $.50, circulation 5,000. Cooperative Bakeries of Massachusetts, 133 Oxford Street, Lynn, Mass. Benj. D. Levine, Meyer Goldbergs. Endorsed by Cooper ative League of America."
Cooperative News Service (weekly),"All American Cooperative Commission, 806 En gineers Building, Cleveland, Ohio",Albert F. Coyle,Cooperation,"Cooperative News Service (weekly). Established 1921, 2 pages, $2. All American Cooperative Commission, 806 En gineers Building, Cleveland, Ohio. Albert F. Coyle. ""Service is furnished directly to more than 400 farm and labor papers who in turn reprint it giving its con tents to more than 2,5pO,000 readers weekly."" 500 farm and labor organizations comprise the All Ameri can Cooperative Commission."
"Cooperative Student, The (semi-yearly)","Cooperative Educational Association, Incorporated, 400 Stone Avenue, Brooklyn, New York",J. L. Afros,Cooperation,"Cooperative Student, The (semi-yearly). Established 1923, 4 pages, $.50, circulation 2,200. Cooperative Educational Association, Inc., 400 Stone Avenue, Brooklyn, N. Y. J. L. Afros."
"Cooperators Herald, The (monthly)","Exchange Publishing Company, Equity Cooperative Exchange, Gloge Building, St. Paul, Minnesota","Richard  Lee, George C. Lambert, James Manahan",Cooperation,"Cooperators Herald, The (monthly). 16 and more pages, $1, circulation 20,000. Exchange Publishing Co., Equity Cooperative Exchange, Gloge Building, St. Paul, Minn. Richard A. D. Lee, George C. Lambert, James Manahans. Official organ, State Union, American Society of Equity, Stockholders Equity Cooperative Exchange. Practical cooperation and marketing of farm products."
Equity News (fortnightly),"Wisconsin State Union, American Society of Equity, 440 Washington Building, Madison, Wisconsin",George A. Nelson,Cooperation,"Equity News (fortnightly). Established 1911, 16 pages, $1, circula tion 12,000. Wisconsin State Union, American Society of Equity, 440 Washington Building, Madison, Wis. George A. Nelson."
Home Cooperator (monthly),"The Cooperative League of America, 167 West 12th Street, New York, New York",Cedric Long,Cooperation,"Home Cooperator (monthly). Established 1920, circulation 5- 8,000. The Cooperative League of America, 167 West 12th Street, New York, N. Y. Cedric Long."
Iowa Union Farmer (fortnightly),"Farmers' Educational and Cooperative Union of America, Iowa division, Columbus Junction, Iowa",NONE,Cooperation,"Iowa Union Farmer (fortnightly). Wednesdays. Established 1918, 4 pages, $1, circulation 14,500. Farmers' Educational and Cooperative Union of America, Iowa division, Columbus Junction, Iowa. Uses mats."
Kansas Union Farmer (weekly),"Farmers' Educational and Cooperative Union of America, Box 48, Salina, Kansas","W. C. Lansdon, John Tromble",Cooperation,"Kansas Union Farmer (weekly). Thursdays. 4 pages, $1, cir culation 25,000. W. C. Lansdon, John Trombles., P. O. Box 48, Salina, Kansas. Official organ, Farmers' Educational and Cooperative Union of America."
Kentucky Union Farmer (fortnightly),"Kentucky Division, Farmers' Educational and Cooperative Union of America, 804 Guaranty Bank Building, Lexington, Kentucky","James H. White, Harrison, man. ed.",Cooperation,"Kentucky Union Farmer (fortnightly). Established 1917, 4 pages, $1, circulation 15,000. Kentucky Division, Farmers' Educational and Cooperative Union of America, 804 Guaranty Bank Building, Lexington, Ky. James H. White., E. L. Harrison, man. ed. Uses mats"
"Llano Colonist, The (weekly)","The Llano Publica tions, Newllano, Vernon Parish, La",Carl Henry Gleeser,Cooperation,"Llano Colonist, The (weekly). Saturdays. Established 1921, 16 pages, $1.50, circulation 2,000. The Llano Publica tions, Newllano, Vernon Parish, La. Carl Henry Glee- ser. Federated Press."
"Minneapolis Cooperator, The (monthly)","The Franklin Cooperative Creamery Association, 2108 Washington Avenue, North, Minneapolis, Minnesota",NONE,Cooperation,"Minneapolis Cooperator, The (monthly). Established 1922, 8 pages, circulation 20,000. The Franklin Cooperative Creamery Association, 2108 Washington Avenue, North, Minneapolis, Minn."
Nebraska Union Farmer (monthly),"Nebraska Division, Farmers' Edu cational and Cooperative Union of America, llth and Jones Streets, Omaha, Nebr",L. S.  Herron,Cooperation,"Nebraska Union Farmer (monthly). Established 1914, 8 pages, circulation 20,000. Nebraska Division, Farmers' Edu cational and Cooperative Union of America, llth and Jones Streets, Omaha, Nebr. L. S. Herron."
"Southern California Cooperator, The (monthly)","San Diego Cooperative Association, 1033 Broadway, San Diego, California",NONE,Cooperation,"Southern California Cooperator, The (monthly). The San Diego Cooperative Association, 1033 Broadway, San Diego, Calif."
"United Consumer, The (monthly)","Educational Department Central tales Cooperative Wholesale Society, 1752 State Street, East St. Louis, Illinois",A. W. Warriner,Cooperation,"United Consumer, The (monthly). Established 1923, 16 pages, circulation 6,250. Educational Department Central tales Cooperative Wholesale Society, 1752 State St., East St. Louis. Ills. A. W. Warriner. Endorsed by State Federation of Labor."
Americke Delnicke Listy (weekly),"Bohemian Socialistic Printing and Publishing Company, 4130 Broadway, Cleveland, Ohio",Joseph Martinek,Socialist,"Americke Delnicke Listy (weekly). Fridays. Established 1909, 20 pages, $3. Bohemian Socialistic Printing and Pub lishing Co., 4130 Broadway, Cleveland, Ohio. Joseph Martinek. Official organ, Bohemian (Czechoslovak) Federation of Socialist Party of the United States and endorsed by Czechoslovak Workers Council of Cleveland (labor organizations)."
Arbeiter-Zeitung (weekly),"1642 North Halsted Street, Chicago, Illinois",NONE,Socialist,"Arbeiter-Zeitung (weekly). German. 1642 North Halsted Street, Chicago, Ill."
Arbeiter-Zeitung (weekly),"Labor Publishing Company, 940 Chouteau Avenue, St. Louis, Missouri",NONE,Socialist,"Arbeiter-Zeitung (weekly). German. Saturdays. Established 1898, 8 pages, $2, circulation 5,600. Labor Pub lishing Co., 940 Chouteau Avenue, St. Louis, Mo. G. A. Hoehn."
"Chicago Socialist, The (weekly)","Socialist Party of Cook County, 1501 Warren Avenue, Chicago, Illinois",Florence Hall and  W. R. Snow,Socialist,"Chicago Socialist, The (weekly). Saturdays. 4 pages, $1.50. Socialist Party of Cook County, 1501 Warren Avenue, Chicago, Ill. Florence Hall and W. R. Snows. Federated Press."
"Citizen, The (weekly)","The Citizen Publishing Company, 156 Barrett Street, Schenectady, New York",Hawley B. Van Vechten,Socialist,"Citizen, The (weekly). Fridays. Established 1910, 4-8 pages, $1.50, circulation 2,000. The Citizen Publishing Co., 156 Barrett Street, Schenectady, N. Y. Hawley B. Van Vechten. National Socialist Party press service. Official organ Socialist Party of Schenectady."
Dziennik Ludowy (daily),"Polish People's Publishing Company, 959 Milwaukee Avenue, Chicago, Illinois",Adam Olszewski,Socialist,"Dziennik Ludowy (daily). Except Sunday. Established 1906, 12-16 pages, $6, circulation 27,000. Polish People's Publishing Co., 959 Milwaukee Avenue, Chicago, Ill. Adam Olszewski. Endorsed by Polish Socialist Alliance of America. Uses mats. Socialist."
"Emancipator, The (tri-weekly)","Working People's Committee, Main Street, St. Thomas, Virgin Islands",Rotschild Francis,Socialist,"Emancipator, The (tri-weekly). Established 1921, 8 pages, $3.60, circulation 3,000. Working People's Committee, Main Street, St. Thomas, Virgin Islands. Rotschild Francis. Federated Press. Socialist."
Eritassard Hayastan (weekly),"Eritassard Hayastan Pub lishing Company, 6 Parmelee Street, Boston, Massachusetts","B. Bondatzi, man. ed.",Socialist,"Eritassard Hayastan (weekly). Armenian. Established 1903, 4 pages, $3, circulation 2,000. Eritassard Hayastan Pub lishing Co., 6 Parmelee Street, Boston, Mass. B. Bondatzi, man. ed. Official organ, Social Democrat Hentchakian Party."
Free Youth (monthly),"Young People's Socialist League, Greater New York, 7 East 15th Street, New York, New York","Gertrude Weil Klein, Samuel H. Friedman, Morris Novik",Socialist,"Free Youth (monthly). Established 1924, 20-32 pages, $1, circu lation 3,000. Young People's Socialist League, Greater New York, 7 East 15th Street, New York, N. Y. Gertrude Weil Klein, Samuel H. Friedman, Morris Noviks."
Hairenik (daily),"13 Shawmut Ave, Boston, Massachusetts",NONE,Socialist,"Hairenik (daily). Armenian. 13 Shawmut Ave., Boston, Mass."
Jewish Daily Forward (daily),"Forward Association, 175 East Broadway, New York, New York",Abraham Cahan,Socialist,"Jewish Daily Forward (daily). Established 1897, 8-32 pages, $10, circulation 205,000. Forward Association, 175 East Broadway, New York, N. Y. Abraham Cahan. Endorsed by Socialist Party, United Hebrew Trades, Workmen's Circle. Universal News Service. Uses mats. Issues editions in Philadelphia, Pittsburgh, Bal timore, Detroit, Cleveland, St. Louis, and Los Angeles."
Jewish Daily Forward (daily),"Forward Association, 175 East Broadway, New York, New York",Abraham Cahan,Socialist,"Jewish Daily Forward (daily). Established l919, 8 pages, $11, circulation 42,000. Forward Association, 175 East Broadway, New York, N. Y. Abraham Cahan."
"Jewish Daily Forward, Chicago edition (daily)","Forward Association, 1128 Blue Island Avenue, Chicago, Illinois","Ben Schlessinger, bus. mgr.",Socialist,"Jewish Daily Forward, Chicago edition (daily). Forward Association, 1128 Blue Island Avenue, Chicago, IL. Ben Schlessinger, bus. mgr."
"Messenger, The (monthly)","The Messenger Publishing Co, 2311 Seventh Avenue, New York, New York","A. Philip Randolph, Chandler Owen",Socialist,"Messenger, The (monthly). Established 1918, 32-42 pages, $1.75, circulation 5-10,000. The Messenger Publishing Co., 2311 Seventh Avenue, New York, N. Y. A. Philip Randolph, Chandler Owens. Official organ, Friends of Negro Freedom, endorsed by various trade unions. Federated Press."
Miami Valley Socialist (weekly),"Socialist Party of Dayton, 124 S. Jefferson Street, Dayton, Ohio",Joseph W. Sharts,Socialist,"Miami Valley Socialist (weekly). Fridays. Established 1912, 4 pages, $1, circulation 3,000. Socialist Party of Dayton, 124 S. Jefferson Street, Dayton, Ohio. Joseph W. Sharts. Official organ, Socialist Party of Ohio. Federated Press, National office, Socialist Party of United States. Uses mats."
"Milwaukee Leader, The (daily)","Milwaukee Social Democratic Pub lishing Company, 528-32 Chestnut Street, Milwaukee, Wisconsin",Victor L. Berger in chief,Socialist,"Milwaukee Leader, The (daily). Established 1911, 12-32 pages, $6, circulation 49,102. Milwaukee Social Democratic Pub lishing Co., 528-32 Chestnut Street, Milwaukee, Wis. Victor L. Berger. in chief. United Press. Socialist."
Naujienos (daily),"The Lithuanian News Publishing Company, 1739 South Halsted Street, Chicago, Illinois",P. Grigaitis,Socialist,"Naujienos (daily). Lithuanian. Established 1914, 6-12 pages, $7, circulation 26,500. The Lithuanian News Publishing Co., 1739 South Halsted Street, Chicago, Ill. P. Grigaitis. Endorsed by Lithuanian Federation of Socialist Party. Associated Press, United Press. Uses mats."
"New Leader, The (weekly)","The New Leader Association, 7 East 15th Street, New York, New York","James Oneal, Edward Levinson",Socialist,"New Leader, The (weekly). Fridays. Established 1924, 12 pages, $2, circulation 25,000. The New Leader Associ ation, 7 East 15th Street, New York, N. Y. James Oneal, Edward Levinsons. Official organ, Socialist Party. Uses mats."
Nykyaika (monthly),"Finnish Socialistic Publishing Company, 48 Wallace Avenue, Fitchburg, Massachusetts",W. N. Reivo,Socialist,"Nykyaika (monthly). Established 1907, 32 pages, $2, circulation 5,000. Finnish Socialistic Publishing Co., 48 Wallace Avenue, Fitchburg, Mass. W. N. Reivo. Official organ, Finnish Federation, Socialist Party. Uses mats."
"Parola del Popolo, La (weekly)","Italian Federation of the Socialist Party, 1011 Blue Island Avenue, Chicago, Illinois","G. Bertelli,  Camboni",Socialist,"Parola del Popolo, La (weekly). Saturdays. Established 1910, 4-10 pages, $2, circulation 10,000. Italian Federation of the Socialist Party, 1011 Blue Island Avenue, Chica go, Ill. G. Bertelli, P. M. Cambonis. Uses mats."
Philadelphia Tageblatt (daily),"Philadelphia Tageblatt Publishing Association, 107 North 6th Street, Philadelphia, Pennsylvania","Edmund Thomaser, Dr. Martin Darkow, H. Kahler",Socialist,"Philadelphia Tageblatt (daily). Established 1877, 8-24 pages, $12. Philadelphia Tageblatt Publishing Association, 107 North 6th Street, Philadelphia, Pa. Edmund Thomaser, Dr. Martin Darkow, H. Kahlers. Offi cial organ, United German Trades."
Proletarec (weekly),"Jugoslav Workmen's Publishing Company, 3639 West 26th Street, Chicago, Illinois","Frank Zaitz, Anton Zagar",Socialist,"Proletarec (weekly). Thursdays. Established 1907, 20 pages, $3, circulation 12,000. Jugoslav Workmen's Publishing Co., 3639 West 26th Street, Chicago, Ill. Frank Zaitz, Anton Zagars. Official organ, Jugoslav Federation, Socialist Party. Uses mats"
Raivaaja (daily except Sunday),"Finnish Socialist Publishing Company, 48 Wallace Avenue, Fitchburg, Massachusetts","Syrjala, Lauri Moilanen, Yrjo Makela,  Usenius, Oskari Tokoi",Socialist,"Raivaaja (d. except Sunday). Established 1905, 6 pages, $6, circulation 6-7,000. Finnish Socialist Publishing Co., 48 Wallace Avenue, Fitchburg, Mass. F. J. Syrjala, Lauri Moilanen, Yrjo Makela, A. E. Usenius, Oskari Tokois. Official organ, Finnish Federation, Socialist Party. Uses mats."
Reading Labor Advocate (weekly),"Reading Publishing Cooperative As sociation, 27-29 Reed Street, Reading, Pennsylvania",Raymond S. Hpfses,Socialist,"Reading Labor Advocate (weekly). Saturdays. Established 1900, 8 pages, $1. Reading Publishing Cooperative As sociation, 27-29 Reed Street, Reading, Pa. Raymond S. Hpfses. Official organ, Federated Trades Council, Local Berks County, Socialist Party. Fede rated Press, National Socialist Party press."
Robotnik Polski (weekly),"Polish People's Publishing Company, 959 Milwaukee Avenue, Chicago, Illinois",Adam Olszewski,Socialist,"Robotnik Polski (weekly). Saturdays. Established 1897, 12 pages, $3, circulation 28,000. Polish People's Publishing Co., 959 Milwaukee Avenue, Chicago, Ill. Adam Olszewski. Endorsed by Polish Socialist Alliance of America. Uses mats. Socialist."
St. Louis Labor (weekly),"Labor Publishing Co, 940 Chouteau Avenue, St. Louis, Missouri",Hoehn,Socialist,"St. Louis Labor (weekly). Saturdays. Established 1900, 8 pages, $2, circulation 6,750. Labor Publishing Co., 940 Chouteau Avenue, St. Louis, Mo. G. A. Hoehn."
"Socialist World, The (monthly)","National office, Socialist Party of the United States, 2653 Washington Boulevard, Chicago, Illinois",NONE,Socialist,"Socialist World, The (monthly). Established 1920, 16 pages, $1, circulation 14,000. National office, Socialist Party of the United States, 2653 Washington Boulevard, Chicago, Ill. Socialist Press Service."
Volks-Stimme (weekly),"German language group, Socialist Party, 107 North 6th Street, Philadelphia, Pennsylvania",E.  Thomaser,Socialist,"Volks-Stimme (weekly). Wednesdays. Established 1925, 8 pages, $2. German language group, Socialist Party, 107 North 6th Street, Philadelphia, Pa. E. Thomaser."
"Wecker, Der (weekly)","Jewish Socialist Verband, 175 East Broadway",David Shub,Socialist,"Wecker, Der (weekly). Saturdays. Established 1921, 16 pages, $2.50. Jewish Socialist Verband, 175 East Broadway. David Shub. Official organ, Jewish Socialist Verband, Socialist Party of the United States."
"World, The (weekly)","The World Press, Incorporated, 1020 Broad way, Oakland, California",Cameron H. King,Socialist,"World, The (weekly). Fridays. Established 1903, 4 pages, $2, circulation 4,000. The World Press, Inc., 1020 Broad way, Oakland, Calif. Cameron H. King. Corpo ration owned by Socialist Party and members. Official organ, Socialist Party of California. Federated Press, National Office, Socialist Party."
"Yiddisher Arbeiter, Der (weekly)","Poale Zion of America, 133 Second Ave, New York, New York",Y. I. Zaar,Socialist,"Yiddisher Arbeiter, Der (weekly). Established 1923, 16-32 pages, $2.50, 6,000. Poale Zion of America, 133 Second Ave., New York, ,N. Y. I. Zaar. Socialist."
"Zukunft, Die (monthly)","The Forward Association, 175 East Broadway, New York, New York",Abraham Liessen,Socialist,"Zukunft, Die (monthly). Established 1899, 66 pages, $1.50. The Forward Association, 175 East Broadway, New York, N. Y. Abraham Liessen."
"Daily Worker, The (daily)","1113 West Washington Boulevard, Chicago, Illinois","J Louis Engdahl, William F Dunne",Communist,"Daily Worker, The (daily) Established 1924, 8 pages, $6, cir culation 25,000. Daily Worker Publishing Co., 1113 West Washington Boulevard, Chicago, Ill. J. Louis Engdahl, William F. Dunnes. Official organ, Workers' Party of America. International News Service, Federated Press. Uses mats."
Darbininkiu Balsas (monthly),"Lithuanian Women's Progressive Alliance of America, 46 Ten Eyck Street, Brooklyn, New York",Helen Yeskevich,Communist,"Darbininkiu Balsas (monthly). Established 1916, 24 pages, $1.50, circulation 4,000. Lithuanian Women's Progressive Alliance of America, 46 Ten Eyck Street, Brooklyn, N. Y. Helen Yeskevich."
Delnik,"1113 West Washington Boulevard, Chicago, Illinois",NONE,Communist,"Delnik. Bohemian. 1113 West Washington Boulevard, Chicago, Ill."
Empros (weekly),"Greek Federation of the Workers' Party of America, 1113 West Washington Boulevard, Chicago Illinois",NONE,Communist,"Empros (weekly). Saturdays. Established 1918, 6 pages, $2, cir culation 5,000. Greek Federation of the Workers' Party of America, 1113 West Washington Boulevard, Chicago Ill."
Desteptarea (weekly),"Roumanian Federation, Workers' Party of America, 4417 Chewe Street, Detroit, Michigan",John C. Serb,Communist,"Desteptarea (weekly). Sundays. Established 1914, 4 pages, $2, circulation 1,850. Roumanian Federation, Workers' Party of America, 4417 Chewe Street, Detroit, Mich. John C. Serb. Uses mats."
Eteenpain (daily),"Eteenpain Cooperative Society, 54 Belmont, Wor cester, Massachusetts",Elis Sulkanan,Communist,"Eteenpain (daily). Established 1921, 6-8 pages, $6, circulation 9,800. Eteenpain Cooperative Society, 54 Belmont, Wor cester, Mass. Elis Sulkanan. Official organ, Fin nish Federation, Workers' Party of America. Federated Press. Uses mats."
Freiheit (daily),"The Freiheit Publishing Association 30 Union Square, New York, New York",http://www.oldnyc.org/#723616f-a,Communist,"Freiheit (daily). Jewish. Established 1922, 6 pages, $9, circulation 50,000. The Freiheit Publishing Association 30 Union Square, New York, N. Y. Official organ, Workers' Party of America. Federated Press, Jewish Telegraph Agency."
Labor Unity (weekly),"Workers' Association, 225 Valencia Street, San Francisco, California",NONE,Communist,"Labor Unity (weekly). Thursdays. Established 1920, 4 pages, $2, circulation 3,500. Workers' Association, 225 Valencia Street, San Francisco, Calif. Endorsed by local unions. Federated Press. Uses mats."
Laisve (daily except Sunday),"Lithuanian Cooperative Publishing Society, Incorporated, 46 Ten Eyck Street, Brooklyn, New York",W. Rhodes,Communist,"Laisve (daily except Sunday). Established 1911, 4-6 pages, $6, circulation 15,000. Lithuanian Cooperative Publishing So ciety, Inc., 46 Ten Eyck Street, Brooklyn, N. Y. W. Rhodes."
"Lavoratore, II (weekly)","Italian Federation, Workers' Party of America, 108 East 14th Street, New York, New York",NONE,Communist,"Lavoratore, II (weekly). Saturdays. Established 1924, 4 pages, circulation 12,500. Italian Federation, Workers' Party of America, 108 East 14th Street, New York, N. Y. Federated Press. Uses mats."
New Yorker Volkszeitung (daily),"Socialist Cooperative Publishing Association, 15 Spruce Street, New York, New York",Ludwig Lore in chief,Communist,"New Yorker Volkszeitung (daily). German. Established 1877, 6-24 pages, $13, circulation 22,000. Socialist Cooperative Publishing Association, 15 Spruce Street, New York, N. Y. Ludwig Lore. in chief. Universal, Standard, Federated Press. Uses mats."
Novy Mir (daily),"Novy Mir Publishing Company, 30 Union Square, New York, New York",A. Brailovsky,Communist,"Novy Mir (daily). Established 1923, 4-6 pages, $7, circulation 14,000. Novy Mir Publishing Co., 30 Union Square, New York, N. Y. A. Brailovsky., J. Obolonsky, mgr. Official organ, Russian section, Workers' Party of America."
Ny Tid (weekly),"Scandinavian Federation, Workers' Party of America, 3206 North Clark Street, Chicago, Illinois",Daniel Birgers,Communist,"Ny Tid (weekly). Saturdays. Established 1905, 4 pages, $2, cir culation 5,000. Scandinavian Federation, Workers' Party of America, 3206 North Clark Street, Chicago, Ill. Daniel Birgers."
Obrana (weekly),"Czechoslovak Section, Workers' Party of America, 326 East 73rd Street, New York, New York",Vac lav Abraham,Communist,"Obrana (weekly). Thursdays. Established 1910, 12 pages, $3, circulation 3,600. Czechoslovak Section, Workers' Party of America, 326 East 73rd Street, New York, N. Y. Vac lav Abraham."
Proletar (weekly),"Proletarian Publishing Co. , 407 Fourth Avenue, New York, New York",NONE,Communist,"Proletar (weekly). Armenian. Established 1924, 4 pages, $2, circulation 1,100. Proletarian Publishing Co., 407 Fourth Avenue, New York, N. Y."
"Proletarian, The (monthly)","The Proletarian Party of America, Room 301, 184 West Wash ington Street, Chicago, Illinois",NONE,Communist,"Proletarian, The (monthly). Established 1918, 16 pages, $1. The Proletarian Party of America, Room 301, 184 West Wash ington Street, Chicago, Ill."
Radnik (tri-w,"South Slavic Section, Workers' Party of Ameri ca, 1113 West Washington Boulevard, Chicago, Illinois","L. Fisher, K. Mikhalachky",Communist,"Radnik (tri-w.). Established 1907, 4 pages, $4, circulation 8,000. South Slavic Section, Workers' Party of Ameri ca, 1113 West Washington Boulevard, Chicago, Ill. L. Fisher, K. Mikhalachkys. Federated Press. Uses mats."
Sasnanio (fortnightly),"1343 East Ferry Street, Detroit, Michigan",NONE,Communist,"Sasnanio (fortnightly). Bulgarian. l343 East Ferry Street, Detroit, Mich."
Spravedlnost (daily),"Czechoslovak Marxian Federation, 1825 South Lopmis Street, Chicago","V. Miniberger, Fr Kozumplik, F. Jirsa, A. Marek, J. Sverak",Communist,"Spravedlnost (daily). Established 1900, 8 pages, $8. Czecho slovak Marxian Federation, 1825 South Lopmis Street, Chicago, 1ll, V. Miniberger, Fr. Kozumplik, F. Jirsa, A. Marek, J. Sveraks. Federated Press."
Toveri (daily),"Western Workmen's Publishing Society, 131 7th Street, Astoria, Oregon","Sulo Syvanen,  Koskela, Helmi Mattson, Emil Parras",Communist,"Toveri (daily). Established 1907, 4-24 pages, $5.50, circulation 3,892. Western Workmen's Publishing Society, 131 7th Street, Astoria, Oregon. Sulo Syvanen, A. N. Koskela, Helmi Mattson, Emil Parrass. Official organ, Fin nish workers of western states, Finnish Federation, Workers' Party. Federated Press. Uses mats."
Trybuna Robotnicza,"1113 West Washington Boule vard, Chicago, Illinois",NONE,Communist,"Trybuna Robotnicza. Polish. 1113 West Washington Boule vard, Chicago, Ill."
Tyomies (daily),"Tyomies Society, 601-3 Tower Avenue, Superior, Wisconsin","Henry Koski, Arvid Nelson, Kajle Aine, George Laitinen,  Hayes, Henry Asketi, Vilho Boman",Communist,"Tyomies (daily). Established 1903, 8 pages, $6, circulation 13,- 800. Tyomies Society, 601-3 Tower Avenue, Superior, Wis. Henry Koski, Arvid Nelson, Kajle Aine, George Laitinen, A. J. Hayes, Henry Asketi, Vilho Bomans. Official organ, Finnish Federation, Workers Party and Cooperative Central Exchange, a cooperative organiza tion. Federated Press. Uses mats."
Uj Elore (daily),"S. Publishing Company, 33 First Street, New York, New York",NONE,Communist,"Uj Elore (daily). Hungarian. Established 1905, 6 pages, circulation 15,000. S. B. S. Publishing Co., 33 First St., New York, N. Y. Louis Basky. Official organ, Workers' Party of America. International News Service, Universal Service."
Ukrainian Daily 'News (daily),"Ukrainian Daily News Publishing Company, 17 East Third Street, New York, New York",NONE,Communist,"Ukrainian Daily 'News (daily). Established 1920, 4-10 pages, $9, circulation 15,000. Ukrainian Daily News Publishing Co., 17 East Third Street, New York, N. Y. International News Service, International Press Correspondence. Com munist. Uses mats."
Uus Ilm (weekly),"Esthonian Publication Society, 1787 1st Avenue, New York, New York",Alexander Kovel,Communist,"Uus Ilm (weekly). Esthonian. Established 1910, 6 pages, <$4, circulation 550. Esthonian Publication Society, 1787 1st Avenue, New York, N. Y. Alexander Kovel."
Vilnis (semi-weekly),"Workers' Publishing Association, Incorporated, 3116 South Halsted Street, Chicago, Illinois","Andriulis, J. Gasiunas",Communist,"Vilnis (semi-weekly). Established 1920, 8 pages, $3, circulation 11,500. Workers' Publishing Association, Inc., 3116 South Halsted Street, Chicago, Ill. V. J. Andriulis, J. Gasiunass. Official organ, Lithuanian Federation, Workers' Party. Federated Press."
Vorwaerts (weekly),"Socialist Cooperative Pub lishing Association, 15 Spruce Street, New York, New York",Ludwig Lore,Communist,"Vorwaerts (weekly). German. Saturdays. Established 1877, 12 pages, $2, circulation 12,000. Socialist Cooperative Pub lishing Association, 15 Spruce Street, New York, N. Y. Ludwig Lore."
"Young Comrade, The (monthly)","Young Workers' League (Junior Sec tion), 1113 West Washington Boulevard, Chicago, Illinois",Max Schachtman,Communist,"Young Comrade, The (monthly). Established 1923, 8 pages, $.50, circulation 8,000. Young Workers' League (Junior Sec tion), 1113 West Washington Boulevard, Chicago, Ill. Max Schachtman. Uses mats."
"Young Worker, The (weekly)","Young Workers' League of America (National Executive Committee), 1113 West Washington Boulevard, Chicago, Illinois",Max Schachtman,Communist,"Young Worker, The (weekly). Tuesdays. Established 1922, 4 pages, $1.50, circulation 7,000. Young Workers' League of America (National Executive Committee), 1113 West Washington Boulevard, Chicago, Ill. Max Schachtman. Federated Press, Young Communist International Press Service. Uses mats."
Arbetaren (weekly),"Scandinavian Socialist Labor Federation, 45 Rose Street, New York, New York",Thor Borg,Socialist Labor,"Arbetaren (weekly). Thursdays. Established 1894, 8 pages, $2.50. Scandinavian Socialist Labor Federation, 45 Rose Street, New York, N. Y. Thor Borg."
"Munkas, A (weekly)","Hungarian Socialist Labor Federation of the Socialist Labor Party, 419 East 83rd Street, New York, New York",Theodore Vaszily,Socialist Labor,"Munkas, A (weekly). Saturdays. Established 1910, 4 pages, $2. Hungarian Socialist Labor Federation of the Socialist Labor Party, 419 East 83rd Street, New York, N. Y. Theodore Vaszily."
Rabotnicheska Prosyeta (weekly),"Bulgarian Federation, Socialist Labor Party, 1404 Madison Avenue, Granite City, Illinois",S. S.  Saralieff,Socialist Labor,"Rabotnicheska Prosyeta (weekly). Fridays. Established 1911, 4 pages, $1.50, circulation 2,300. Bulgarian Federation, Socialist Labor Party, 1404 Madison Avenue, Granite City, Ill. S. S. Saralieff."
Radnicka Borba (weekly),"South Slavonian Federation, Socialist Labor Party, 3359 St. Clair Avenue, Cleveland, Ohio",Lazar Petrovitch,Socialist Labor,"Radnicka Borba (weekly). Thursdays. Established 1907, 4 pages, $2, circulation 2,500. South Slavonian Federation, Socialist Labor Party, 3359 St. Clair Avenue, Cleveland, Ohio. Lazar Petrovitch."
Robitnychyj Holos (monthly),"Socialist Labor Party, 45 Rose Street, New York, New York",Roman Zaremba,Socialist Labor,"Robitnychyj Holos (monthly). Established 1922, 20 pages, $1. Socialist Labor Party, 45 Rose Street, New York, N. Y. Roman Zaremba. Official organ, Ukrainian Propa ganda Group, Akron, Ohio."
Weekly People (weekly),"Socialist Labor Party, 45 Rose Street, New York, New York",Olive M. Johnson,Socialist Labor,"Weekly People (weekly). Saturdays. Established 1890, 6 pages, $2. Socialist Labor Party, 45 Rose Street, New York, N. Y. Olive M. Johnson."
"Carolina Farmer, The (weekly)","104 Dock Street, Wilmington, North Carolina","Geo. W. Cameron, pub and ed.",Farmer-Labor,"Carolina Farmer, The (weekly). Wednesdays. 8 pages, $1. Geo. W. Cameron, pub. and ed., 10^4 Dock Street, Wilming ton, N. C."
Farm-Labor Union News (weekly),"Farm Labor Union, 1526 Texas Avenue, Texarkana, Texas",E. R.  Meitzen,Farmer-Labor,"Farm-Labor Union News (weekly). Fridays. Established 1921, 4 pages, $1, circulation 30,000. Farm Labor Union, 1526 Texas Avenue, Texarkana, Tex. E. R. Meitzen."
